gene_id,locus_tag
SGL_RS04455,slr1846
SGL_RS04460,slr1847
SGL_RS04465,slr1848
SGL_RS04470,slr1849
SGL_RS04475,sll1751
SGL_RS04480,sll1750
SGL_RS04485,sll1749
SGL_RS04490,sll1749a
SGL_RS04495,slr1851
SGL_RS04500,ssr3129
SGL_RS04505,sll1946
SGL_RS04510,slr2032
SGL_RS04515,sll1945
SGL_RS04520,slr2033
SGL_RS04525,slr2034
SGL_RS04530,ssr3451
SGL_RS04535,smr0006
SGL_RS04540,smr0007
SGL_RS04545,smr0008
SGL_RS04550,slr2035
SGL_RS19785,true
SGL_RS04560,slr2036
SGL_RS04565,slr2037
SGL_RS04570,slr2038
SGL_RS04575,sll1942
SGL_RS04580,sll1941
SGL_RS04585,slr2041
SGL_RS04590,slr2042
SGL_RS04595,sll1940
SGL_RS04600,sll1939
SGL_RS04605,ssr3465
SGL_RS04610,sll1938
SGL_RS04615,sll1937
SGL_RS04620,slr2043
SGL_RS04625,slr2044
SGL_RS04630,slr2045
SGL_RS04635,ssr3467
SGL_RS04640,slr2046
SGL_RS04645,slr2047
SGL_RS04650,slr2048
SGL_RS04655,slr2049
SGL_RS04660,slr2051
SGL_RS04665,slr2052
SGL_RS04670,sll1934
SGL_RS04675,slr2053
SGL_RS04680,sll1933
SGL_RS04685,sll1932
SGL_RS04690,sll1931
SGL_RS04695,true
SGL_RS20210,SGL_RS20210
SGL_RS20215,SGL_RS20215
SGL_RS04705,sll1929
SGL_RS18705,true
SGL_RS04710,slr1906
SGL_RS04715,slr1907
SGL_RS04720,slr1908
SGL_RS19335,SGL_RS19335
SGL_RS04725,slr1909
SGL_RS04730,slr1910
SGL_RS04735,slr1911
SGL_RS04740,sll1837
SGL_RS04745,slr1912
SGL_RS04750,slr1913
SGL_RS04755,slr1914
SGL_RS04760,sll1835
SGL_RS04765,sll1834
SGL_RS04770,slr1915
SGL_RS04775,slr1916
SGL_RS04780,slr1917
SGL_RS04785,slr1918
SGL_RS04790,sll1833
SGL_RS04795,sll1832
SGL_RS04800,sll1831
SGL_RS04805,sll1830
SGL_RS04810,slr1919
SGL_RS04815,slr1920
SGL_RS04820,sll0998
SGL_RS04825,ssl1911
SGL_RS04830,slr1019
SGL_RS04835,ST6803t07
SGL_RS04840,sll0997
SGL_RS04845,sll0996
SGL_RS04850,slr1020
SGL_RS04855,ssr1698
SGL_RS04860,sll0995
SGL_RS04865,sll0994
SGL_RS04870,sll0993
SGL_RS04875,slr1022
SGL_RS04880,slr1023
SGL_RS04885,slr1024
SGL_RS04890,slr1025
SGL_RS04895,sll0992
SGL_RS04900,sll0990
SGL_RS04905,ST6803t08
SGL_RS19435,SGL_RS19435
SGL_RS04910,slr1028
SGL_RS04915,slr1030
SGL_RS04920,slr1031
SGL_RS04925,slr1032
SGL_RS04930,slr1033
SGL_RS04935,true
SGL_RS04940,slr1034
SGL_RS04945,slr1035
SGL_RS04950,true
SGL_RS04955,sll0985
SGL_RS04960,sll0984
SGL_RS04965,slr1037
SGL_RS04970,sll0983
SGL_RS04975,sll0982
SGL_RS04980,sll0981
SGL_RS04985,sll0980
SGL_RS04990,slr1039
SGL_RS04995,slr1376
SGL_RS05000,slr1377
SGL_RS05005,slr1378
SGL_RS05010,slr1379
SGL_RS05015,slr1380
SGL_RS05020,sll1300
SGL_RS05025,sll1299
SGL_RS05030,sll1298
SGL_RS05035,ssr2315
SGL_RS05040,slr1383
SGL_RS05050,slr1384
SGL_RS05055,slr1385
SGL_RS05060,ssr2318
SGL_RS05065,sll1297
SGL_RS05070,ssl2559
SGL_RS05075,sll1296
SGL_RS05080,sll1294
SGL_RS05085,sll1293
SGL_RS05090,sll1292
SGL_RS05095,sll1291
SGL_RS05100,sll1290
SGL_RS05105,sll1289
SGL_RS05110,slr1390
SGL_RS05115,slr1391
SGL_RS05120,ssr2333
SGL_RS05125,slr1392
SGL_RS05130,ssl2542
SGL_RS05135,slr1393
SGL_RS05140,slr1394
SGL_RS05145,SGL_RS05145
SGL_RS05150,sll1286
SGL_RS05155,slr1395
SGL_RS05160,slr1396
SGL_RS05165,slr1397
SGL_RS05170,slr1398
SGL_RS05175,sll1285
SGL_RS05180,sll1284
SGL_RS05185,sll1283
SGL_RS05190,slr1699
SGL_RS05195,sll1584
SGL_RS05200,sll1583
SGL_RS05205,sll1582
SGL_RS05210,sll1581
SGL_RS05215,ssr2843
SGL_RS05220,slr1702
SGL_RS05225,slr1703
SGL_RS05230,ssl3093
SGL_RS05235,sll1580
SGL_RS05240,sll1579
SGL_RS05245,sll1578
SGL_RS05250,sll1577
SGL_RS05255,ssr2848
SGL_RS05260,slr1704
SGL_RS05265,SGL_RS05265
SGL_RS05270,true
SGL_RS05280,sll1573
SGL_RS05285,slr1705
SGL_RS05290,slr1706
SGL_RS05295,ssr2857
SGL_RS05300,slr1708
SGL_RS05305,sll1572
SGL_RS05310,sll1571
SGL_RS05315,sll1570
SGL_RS05320,slr1710
SGL_RS05325,sll1568
SGL_RS05330,sll1927
SGL_RS05335,SGL_RS05335
SGL_RS05340,slr2005
SGL_RS05345,sll1925
SGL_RS05350,slr2006
SGL_RS05355,slr2007
SGL_RS05360,slr2008
SGL_RS05365,slr2009
SGL_RS05370,slr2010
SGL_RS05375,ssr3409
SGL_RS05380,ssr3410
SGL_RS05385,slr2011
SGL_RS05390,slr2012
SGL_RS05395,slr2013
SGL_RS05400,sll1924
SGL_RS05405,slr2015
SGL_RS05410,slr2016
SGL_RS05415,slr2017
SGL_RS05420,slr2018
